time,server,player,channel,message
"2012-12-22 23:44:32","default","PickleMan","u",":P"
"2012-12-22 23:44:37","default","PickleMan","g",":P"
"2012-12-22 23:44:45","default","Pyrotek","g","I'm not here!"
"2012-12-22 23:44:50","default","PickleMan","g","waiiit"
"2012-12-22 23:44:56","default","PickleMan","g",":D"
"2012-12-22 23:44:58","default","Pyrotek","g","oh no."
"2012-12-22 23:45:00","default","PickleMan","g",":D"
"2012-12-22 23:45:08","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:11","default","Pyrotek","g","TERRIBLE"
"2012-12-22 23:45:11","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:12","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:12","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:13","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:13","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
"2012-12-22 23:45:14","default","PickleMan","g",";D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :D ;D :"
